,Undergrade CGPA,TOEFL,GRE/GMAT,Conference Paper,Journal Paper,Job Experience(Years),Class_A,Class_B,Class_C,Class_D
86,0.949494949494949,0.2820512820512824,0.9107142857142857,0.0,0.0,0.0,0,1,0,0
87,0.5656565656565653,0.3333333333333335,0.9166666666666666,0.0,0.0,0.0,0,1,0,0
88,0.5656565656565653,0.3333333333333335,0.9166666666666666,0.0,0.0,0.0,1,0,0,0
89,0.737373737373737,0.35897435897435903,0.9166666666666666,0.0,0.0,0.036000000000000004,0,0,0,1
90,0.8585858585858581,0.8461538461538463,0.9464285714285714,0.08333333333333333,0.3333333333333333,0.0,0,1,0,0
91,0.6565656565656561,0.6410256410256414,0.9583333333333333,0.0,0.16666666666666666,0.1,0,1,0,0
92,0.6969696969696968,0.2564102564102564,0.9226190476190476,0.08333333333333333,0.0,0.04,0,0,1,0
93,0.7272727272727271,0.7179487179487181,0.9375,0.16666666666666666,0.0,0.0,0,0,0,1
94,0.5656565656565653,0.384615384615385,0.9494047619047619,0.25,0.0,0.0,0,0,1,0
95,0.5656565656565653,0.384615384615385,0.9494047619047619,0.25,0.0,0.0,0,1,0,0
96,0.5656565656565653,0.384615384615385,0.9494047619047619,0.25,0.0,0.0,0,1,0,0
97,0.7777777777777777,0.4358974358974361,0.9285714285714285,0.25,0.0,0.032,0,0,0,1
98,0.949494949494949,0.4871794871794872,0.9375,0.08333333333333333,0.0,0.28,0,0,1,0
99,0.949494949494949,0.4871794871794872,0.9375,0.08333333333333333,0.0,0.28,0,1,0,0
100,0.949494949494949,0.4871794871794872,0.9375,0.08333333333333333,0.0,0.28,1,0,0,0
101,0.949494949494949,0.4871794871794872,0.9375,0.08333333333333333,0.0,0.28,0,0,1,0
102,0.949494949494949,0.4871794871794872,0.9375,0.08333333333333333,0.0,0.28,0,1,0,0
103,0.949494949494949,0.4871794871794872,0.9375,0.08333333333333333,0.0,0.28,0,0,0,1
104,0.6464646464646462,0.5128205128205132,0.925595238095238,0.16666666666666666,0.0,0.08,1,0,0,0
105,0.0,0.8974358974358978,0.9821428571428571,0.0,0.5,0.0,0,1,0,0
106,0.0,0.8974358974358978,0.9821428571428571,0.0,0.5,0.0,1,0,0,0
107,0.0,0.8974358974358978,0.9821428571428571,0.0,0.5,0.0,0,0,1,0
108,0.0,0.8974358974358978,0.9821428571428571,0.0,0.5,0.0,1,0,0,0
109,0.7575757575757573,0.1538461538461542,0.9375,0.0,0.0,0.024,0,0,0,1
110,0.7575757575757573,0.1538461538461542,0.9375,0.0,0.0,0.024,1,0,0,0
111,0.7575757575757573,0.1538461538461542,0.9375,0.0,0.0,0.024,0,0,1,0
112,0.7575757575757573,0.1538461538461542,0.9375,0.0,0.0,0.024,0,0,0,1
113,0.4949494949494948,0.5897435897435899,0.9285714285714285,0.08333333333333333,0.3333333333333333,0.08,0,1,0,0
